0x498DB160, exploder
0xF5284C9D, hide
0xEC37FF4E, e_pack
0x9CB363EB, a_e_pack
0x36CE088B, aa155b5e-aef3-4242-a12f-9e102adc365b
0x478202C8, scene_arrive
0xFE5EAD62, scene_depart
0xB7690DFC, fx
0x1DC0337D, stop_exploder
0x95E772D3, zm_pack_a_punch
0xDE1FBFB5, set_state_hidden
0xCC62AA1C, pap_quest
0xDC8A02BF, pap_debris
0xA814FBB0, v
0x6E9DC800, bdba9dfd-43ed-4509-90b0-58591e101a27
0xF4FF4D0B, 0bb6cc57-796b-49c1-b6b4-e12ad549a60b
0xCD5401BF, 25733ebc-0b51-448c-a88e-43328dc37f26
0x7AD843F3, 6a4d22ac-ebe2-48d1-9eda-c376f91947d1
0x9703139C, c1b3a357-a2b7-4a51-bc46-6a44cfdb2f35
0xBA3CB563, a1edaa75-2a3a-49af-a8fc-3483c18f833b
0x2B6AD026, 5c863ac8-e112-418d-b797-9b3a5975ddfd
0xB6C24511, ab972b9d-0fe1-4b04-9e44-ab64b9b6c795
0x63313720, 4a1b9d37-5d43-465a-96ad-f5f0ffa9acdc
0xC643429B, c4193714-1e67-45b6-aa76-78ccab3462f6
0xBCD1C2FF, n_slot
0x65100A29, str_perk
0x63133C6A, 584c3c51-512a-4a58-8578-57529c5ff1d8
0x5AA78305, 0560739a-f2fa-43ed-b63a-f264eedc9b8b
0x338CE9FA, bae7c1b5-d6e8-4322-add2-60dd1bd43f66
0xE37245F4, be361714-463e-4e5d-a0c4-7a120eabe51d
0x5DAD450C, start
0xEE206246, zm_sq
0x67ED7BE7, n_prev_health
0x67650555, b826f400-e1f9-4976-b0bc-2abfb1911041
0x83665AE1, deff7dc5-466a-4f5b-9300-f99be9623fa8
0x25A11ACB, 128321ce-4c14-4cd5-b278-4019e4debfc8
0x7B7EB62, cd6dc183-ca24-409d-8a0a-cf4bd3fadf7b
0xB991303F, 292ecb8e-adc8-4af7-bb36-fa007355da7d
0xED45991F, 43a5c8ca-4b9c-45cf-99cc-d70747e67e6e
0x9326510C, 6290601c-fb19-43fe-be33-579d9d0656eb
0x87A12702, a981263b-16c5-420e-8815-80b895f6e2b6
0x214BF53F, 84333ff0-139e-4d1f-bc95-9327eb72387f
0x9493332F, e125ff08-e080-452e-9119-a86c22e185a9
0xD83AD11A, 4a476566-4ee3-48c0-a0af-69a8f9d8fa4c
0x4472B967, 2fdfb463-9fab-4d0e-87ed-59bf2ba38494
0xE100E4A3, n_lockdown
0x1849FB97, a2ca1e8c-6790-4c38-b984-7ce45de8812d
0x8A090E7E, 0de66596-202f-4ca0-9217-41e513893161
0x4D27988, 34cc1cc8-4bdd-4a62-8310-ac435918afe8
0xC4F51631, 13f690f7-e42d-4114-8615-0447a7273fdc
0x8648EAEB, a70cc47e-6e64-4bf7-9db3-947ab0bf505f
0xAC448779, 2b98fb27-4f9e-4296-a0b1-2da7e4b9f004
0xFDF41349, 97613302-6857-416e-af70-974cac3a97da
0x8FAA7A65, fd69cc82-6364-4639-9736-e38d1089cb5f
0xE8AE9D7B, 75d33b10-4b7c-4ed0-86c3-8f3c0b0865e3
0x5BF38269, d27403a0-531f-494a-9135-9b4c9799b7e5
0xC8939F3C, 643a01d9-f1e5-46e4-a857-51f35564b804
0x66B9290A, 9931ba69-63c2-402b-8199-fd4d719bdc4c
0xB47186A3, d8aed329-c141-4e38-90b3-e39f5a9d6e15
0x6F9FC893, e_player_random
0x6636052B, b_enemy_markers
0xDE010C37, lockdowns
0xC05F06C7, mansion_util
0x93048467, s_moveto
0xCD0D0E67, mdl_door
0x65C9997C, mdl_stone
0x59691B68, target
0x662585FA, moveto
0xF8E41330, vectorscale
0x753211BE, v_start
0x4467B457, x
0x51FE0DED, ai_bat
0x28747C75, i
0xA628C4D2, a_s_locs
0xE4ED4C51, 162a3b9f-5982-48f5-81b0-50262b8f6766
0xD72AF167, n_current
0x1C4DF074, n_num
0xFB573C49, n_players
0x4949B91A, randomize
0x5A90052D, bat
0xEE979E6A, no_powerups
0x2B741F8, zm_score
0xE858EEBD, b755ef5e-0037-426b-9e73-b4a6b076cde7
0x782BDBB5, 5a8be8a6-ec83-42f1-bd2f-5a14197334e9
0xB5DF2DEB, dc79c932-f5a8-47b2-9437-e42a86791454
0x5CD6F151, 4e47c4c6-5ae4-4779-aba3-f0fee0dcaadd
0x944250D2, new_ai
0x9FE5D4B8, waitresult
0xE3CF2CC7, ai_werewolf
0xBA2EB3C7, 95d6cb27-c27f-4d3d-bbb9-520a6ced4814
0x77E7FACE, 6dce1250-20c6-40b7-9ec7-f6c85c4bf245
0x25BF57AE, 94a2a009-cf0b-4733-9c9f-766e737439a3
0x86F81456, 20a77365-978c-4b2d-b0e5-8c097b1e4ed9
0x843446C5, s_greenhouse
0x602FF9E4, a_s_greenhouse
0x80C66F94, 1c5f15f6-d5ca-4e62-be08-4aef01d48403
0x8A9F2734, n_enemies
0xBCD34B45, script_noteworthy
0x977DA60, zombie_werewolf_util
0x6AB48029, ignore_round_spawn_failsafe
0x3187BD99, ignore_enemy_count
0x8AE0160, b_ignore_cleanup
0xDFE1444F, 12136345-b9b0-4c0a-a06b-6f3a8f1af844
0x258D53F3, ai_nos
0x950C7B6B, b_crimson
0x67E5F02B, fae9db7f-bba3-4643-8c67-f41945cdb24c
0x52834290, n_active
0x6B1B301D, randomint
0x814C3E1B, waittilltimeout
0xD94FEF3F, a7cae209-3d83-440c-aa70-1df8860b5552
0x507E509F, 2dcf5556-3936-4b82-b58d-9c01340e2c99
0xC8D1A90F, n_total
0x7B1A3D4, arraycopy
0x3C4A74FC, pop
0x7922D3D4, mansion_triad
0x3DAB6861, forest_stone
0xB09DF5A8, on_ai_killed
0xD217C492, _angles_cp_medal_no_deaths
0x54D357E0, wait_till_clear
0x9E13FACD, remove_on_ai_killed
0xEB3B90D, a_s_spawns
0x8B518BB0, a_str_endons
0x96198647, n_spawn_delay
0xD188C0F3, ai
0xFCA00B38, sp_zombie
0x28C5ABC2, s_spawn
0x3A615DD8, a_sp_zombies
0x9E7166ED, fe5de2fb-71a7-4db7-bb52-8393048080e0
0xDA41FB6F, bacdf102-c175-4c89-b4ee-a3f88fb50a40
0x8A7EA860, 2c644243-1a47-4f43-a56d-4b1af56a77dc
0x21C378FA, bab30000-b09a-4f77-a6b2-a466fcf39b2a
0x883DEFD, str_endon
0x671663CE, isarray
0x471F8892, getspawnerarray
0x253CBB6E, spawn_zombie
0x2A25DB93, 0889985b-5199-4958-a5d7-fb0e5ea6f098
0x68DBB103, a8c3619b-21d6-4e26-bd57-9b2772e538d4
0xF6420AB6, 5952b713-32cb-4b06-9bc3-1fca180ab83d
0x2F344106, d772b255-682d-4a3f-a90e-585d8625ea08
0x2A489A83, 6bcd38ce-b70c-46cd-8607-1d9b8d47a4d5
0xDC6D57D6, e5de293c-78cb-43bb-9984-ac3efd9e2eb7
0x825ABABF, 71985bb0-cd9a-4515-8ef8-1db8040de860
0xA186226B, ec1fdea8-0b4c-477c-9fce-a6f28018908b
0x8248CC08, 3eb3c51e-255f-4054-9a52-0199bc176c74
0x1DC59002, a_s_north
0x84C7FB62, a_s_center
0x3FFFBA66, zm_transform
0xBA4A38B3, forceteleport
0x906E3DAF, teleporter_digger_hacked_before_breached_imp
0x9A34037, b3042e6b-3128-4030-80b4-dd8e518c0343
0x8E62A824, d8320688-f3cb-4ec5-8d43-667758d93915
0x31AC9671, c8be8d89-0128-4bc3-b052-f2ca515fd280
0x147704, bca6390a-38f3-46be-829c-f8c4a2d8edb4
0x7DA31F4A, a8199390-4412-4261-a2a9-b4d5835d8665
0x78289ABB, 35f58970-3aa3-4b10-816d-3bd6f3302408
0x12FDD09C, symbol_loc
0xC894E4A7, a_symbol_locs
0xD2CF4B2F, a_symbol_locs_disabled
0x3D784C21, library
0x762702EE, danu
0x42DBF8F2, master
0x5F4D9B97, cellar
0xF61267EF, 0cc5f478-acac-466c-addf-94ef26e238b1
0xEFB1DD74, c44f9006-62c4-4746-b309-f294cbc8c3ca
0xE62BB978, 04e37fe1-eb52-4750-8928-47f5fe9e54bb
0x41B99F6D, b3f21c3b-b54f-4940-9a4d-903aecde9f6e
0xD170220F, ghost_loc
0x247982DD, a_ghost_locs
0xF90FFF37, a_ghost_locs_disabled
0x281B15CE, 086956d7-cfd2-43db-98d5-8871af860ad1
0x24787C91, 08b23c70-a2c9-4ce3-bcf6-2cce73e8845d
0x1037846D, a75ecbaa-5367-4bf4-9929-e7ea646f2714
0xEC646F74, ba4cca6e-6e9d-417f-ac71-11b3e55c4650
0xE4B9126D, dig_loc
0x989BAB32, a_dig_locs
0xF791B5B5, a_dig_locs_enabled
0x61E5C7F5, ww_quest
0x10E0A0DD, dig
0x8CAC227E, mid
0x92663979, far
0x5A63D637, close
0xE90A8837, 1c03984d-2db8-413b-99f9-7581a06ee579
0xF6543CB4, b978b49e-d607-467b-977c-ed01367d62c5
0x3F2578B0, 7fc6f3d0-d85e-4f8b-a5fe-9dc552dba378
0x8EC54E64, 78657a58-c793-4510-92fc-e7514a500cd6
